Name ,Status,Date of Classification
Corunastylis insignis,Critically Endangered,19-Jul-14
Corunastylis littoralis,Critically Endangered,22-Feb-11
Corunastylis sp. Charmhaven (NSW 896673) = Genoplesium branwhiteorum,Critically Endangered,19-Jul-14
Corybas sulcatus,Critically Endangered,26-Feb-13
Croton mamillatus,Critically Endangered,7-Sep-23
Darwinia collina,Critically Endangered,5-Oct-22
Darwinia foetida,Critically Endangered,11-Jun-09
Dasymalla axillaris,Critically Endangered,19-Aug-10
Daviesia glossosema,Critically Endangered,18-Aug-06
Daviesia ovata,Critically Endangered,11-May-18
Daviesia pseudaphylla,Critically Endangered,31-Mar-23
Decaspermum struckoilicum,Critically Endangered,20-Mar-23
Deyeuxia ramosa,Critically Endangered,15-Nov-23
Diuris flavescens,Critically Endangered,24-Jan-14
Duma horrida subsp. abdita,Critically Endangered,18-Aug-06
Eidothea hardeniana,Critically Endangered,23-Jul-02
Elatostema montanum,Critically Endangered,25-Nov-03
Epacris graniticola,Critically Endangered,30-Jun-09
Epacris limbata,Critically Endangered,23-Jul-02
Epacris stuartii,Critically Endangered,16-Oct-01
Eremophila glabra subsp. Scaddan (C.Turley s.n. 10/11/2005),Critically Endangered,4-Jul-19
Eremophila koobabbiensis,Critically Endangered,1-Dec-09
Eremophila rostrata,Critically Endangered,1-Dec-09
Eremophila sp. Narrow leaves (J.D.Start D12-150) = Eremophila subangustifolia,Critically Endangered,11-May-18
Eucalyptus aquatica,Critically Endangered,4-Sep-24
Eucalyptus benthamii,Critically Endangered,4-Sep-24
Eucalyptus dalveenica,Critically Endangered,7-Sep-23
Eucalyptus imlayensis,Critically Endangered,31-Mar-23
Eucalyptus morrisbyi,Critically Endangered,31-Mar-23
Eucalyptus paliformis,Critically Endangered,5-Mar-25
Eucalyptus phoenix,Critically Endangered,7-Sep-23
Eucalyptus recurva,Critically Endangered,9-Apr-15
Eucalyptus scopulorum,Critically Endangered,5-Mar-25
"Eucalyptus sp. Cattai (Gregson s.n., 28 Aug 1954) = Eucalyptus cryptica",Critically Endangered,11-May-18
Euphorbia norfolkiana,Critically Endangered,25-Nov-03
Euphrasia arguta,Critically Endangered,19-Mar-11
Euphrasia fragosa,Critically Endangered,16-Oct-01
Euphrasia gibbsiae subsp. psilantherea,Critically Endangered,16-Oct-01
Fontainea oraria,Critically Endangered,4-Jul-19
"Fontainea sp. Coffs Harbour (A.S.Benwell 341, NSW1102027)",Critically Endangered,16-Jul-24
Galium antarcticum,Critically Endangered,26-Feb-13
Gastrolobium argyrotrichum,Critically Endangered,11-May-18
Gastrolobium diabolophyllum,Critically Endangered,11-Jun-09
Gastrolobium luteifolium,Critically Endangered,1-Dec-09
Gastrolobium vestitum,Critically Endangered,11-May-18
Gentiana bredboensis,Critically Endangered,4-Jul-19
Gentiana wissmannii,Critically Endangered,5-Jul-23
Grevillea brachystylis subsp. grandis,Critically Endangered,8-Jan-09
Grevillea bracteosa subsp. howatharra,Critically Endangered,15-Aug-17
Grevillea burrowa,Critically Endangered,31-Mar-23
Grevillea caleyi,Critically Endangered,11-May-18
Grevillea hodgei,Critically Endangered,8-Dec-21
Grevillea rivularis,Critically Endangered,13-Nov-21
Grevillea scortechinii subsp. scortechinii,Critically Endangered,7-Dec-21
Grevillea sp. Gillingarra (R.J.Cranfield 4087) = Grevillea gillingarra,Critically Endangered,11-May-18
Grevillea thelemanniana,Critically Endangered,15-Feb-18
Grevillea wilkinsonii,Critically Endangered,13-Nov-21
Guichenotia seorsiflora,Critically Endangered,1-Dec-09
Gyrostemon reticulatus,Critically Endangered,18-Aug-06
Hakea dohertyi,Critically Endangered,15-Nov-23
Haloragis platycarpa,Critically Endangered,18-Aug-06
Hemigenia ramosissima,Critically Endangered,11-Jun-09
Hibbertia abyssus,Critically Endangered,7-Dec-16
Hibbertia circinata,Critically Endangered,13-Nov-21
Hibbertia priceana,Critically Endangered,11-Jun-09
Hibbertia puberula subsp. glabrescens,Critically Endangered,16-Jan-09
Hibbertia sp. Toolbrunup (J.R.Wheeler 2504) = Hibbertia barrettiae,Critically Endangered,4-Jul-19
Hibbertia spanantha,Critically Endangered,7-Dec-16
Hibbertia tenuis,Critically Endangered,19-Aug-10
Hibbertia wheelerae,Critically Endangered,15-Nov-23
Hibiscus insularis,Critically Endangered,25-Nov-03
Homoranthus bebo,Critically Endangered,4-Jul-19
Homoranthus bruhlii,Critically Endangered,13-Nov-21
Homoranthus elusus,Critically Endangered,13-Nov-21
Hybanthus cymulosus = Pigea cymulosa,Critically Endangered,1-Dec-09
Isopogon robustus,Critically Endangered,11-Jun-09
Kardomia prominens,Critically Endangered,7-Dec-21
Kunzea similis subsp. similis,Critically Endangered,11-May-18
Lambertia fairallii,Critically Endangered,7-Sep-23
