drivers_type,loss_year,loss_area_ha,gross_carbon_emissions_Mg
Other natural disturbances,2021,580.7304546710433,222048.36349804784
Permanent agriculture,2021,6114.252681718676,3141981.401758692
Settlements & Infrastructure,2021,2218.5343122224585,864747.0372870786
Shifting cultivation,2021,0.3322002039984809,155.58331659055747
Unknown,2021,523.6393061894717,146141.12708979863
Wildfire,2021,192986.90139223385,48933811.11280552
Hard commodities,2022,2282.957175723521,791790.2812986512
Logging,2022,41423.52363076699,36042512.616554566
Other natural disturbances,2022,480.3579244809775,183461.53634812636
Permanent agriculture,2022,5128.995071334192,2502797.015164931
Settlements & Infrastructure,2022,2168.976445256259,847240.4401004108
Shifting cultivation,2022,0.6994071365538195,310.4874901349341
Unknown,2022,352.4242252152534,114303.69757828313
Wildfire,2022,67148.51206931533,14247944.393668883
Hard commodities,2023,2303.148181629895,772935.5534153578
Logging,2023,32005.421497009243,28628915.717109192
Other natural disturbances,2023,123.26245149680992,40468.20420068688
Permanent agriculture,2023,5064.016023085125,2749419.0429939977
Settlements & Infrastructure,2023,1435.4524832618133,551509.7546270848
Shifting cultivation,2023,3.320753597093099,1367.8401285935627
Unknown,2023,106.28148436339899,26848.46648751672
Wildfire,2023,149672.3545518949,27208861.860786095
Hard commodities,2024,1468.3502340492887,524705.4486439738
Logging,2024,32716.902190040946,28539153.356256783
Other natural disturbances,2024,564.8123967485669,252673.0067098473
Permanent agriculture,2024,4652.175239343227,2306591.1781720435
Settlements & Infrastructure,2024,1237.9842789903207,492069.18141991476
Shifting cultivation,2024,3.024727701745876,1341.8432980211464
Unknown,2024,165.81952362750218,54088.226298430076
Wildfire,2024,139860.85342570618,26805130.556166194
