"","RegionCentroidLatitude","RegionCentroidLongitude","TaxonID","Binomial","State","MaxStatus"
"68",-35.43401712,149.060159,"p_65324","Prasophyllum_petilum","Australian Capital Territory","Endangered"
"69",-35.43401712,149.060159,"p_77289","Swainsona_recta","Australian Capital Territory","Endangered"
"70",-35.33131139,138.668376,"p_13890","Caladenia_argocalla","South Australia","Endangered"
"71",-35.33131139,138.668376,"p_13917","Caladenia_colorata","South Australia","Endangered"
"72",-35.33131139,138.668376,"p_1753","Acacia_menzelii","South Australia","Vulnerable"
"73",-35.33131139,138.668376,"p_2056","Acacia_pinguifolia","South Australia","Endangered"
"74",-35.33131139,138.668376,"p_2228","Acacia_rhetinocarpa","South Australia","Vulnerable"
"75",-35.33131139,138.668376,"p_23291","Prasophyllum_murfetii","South Australia","Critically Endangered"
"76",-35.33131139,138.668376,"p_5279","Caladenia_ovata","South Australia","Vulnerable"
"77",-35.33131139,138.668376,"p_57921","Olearia_pannosa_subsp_pannosa","South Australia","Vulnerable"
"78",-35.33131139,138.668376,"p_65546","Prostanthera_eurybioides","South Australia","Endangered"
"79",-35.26523623,150.6600222,"p_10256","Banksia_vincentia","New South Wales","Critically Endangered"
"80",-35.26523623,150.6600222,"p_65296","Prasophyllum_affine","New South Wales","Endangered"
"81",-35.26523623,150.6600222,"p_84377","Pterostylis_vernalis","New South Wales","Critically Endangered"
"82",-35.26523623,150.6600222,"p_84552","Calochilus_pulchellus","New South Wales","Endangered"
"83",-35.18624638,142.3331151,"p_77242","Swainsona_murrayana","Victoria","Vulnerable"
"84",-34.98189202,150.298742,"p_13996","Caladenia_tessellata","New South Wales","Vulnerable"
"85",-34.98189202,150.298742,"p_84377","Pterostylis_vernalis","New South Wales","Critically Endangered"
"86",-34.98189202,150.298742,"p_84552","Calochilus_pulchellus","New South Wales","Endangered"
"87",-34.95748829,137.4743807,"p_13947","Caladenia_intuta","South Australia","Critically Endangered"
"88",-34.95748829,137.4743807,"p_13950","Caladenia_macroclavia","South Australia","Endangered"
"89",-34.88766404,138.7623028,"p_13890","Caladenia_argocalla","South Australia","Endangered"
"90",-34.88766404,138.7623028,"p_13896","Caladenia_behrii","South Australia","Endangered"
"91",-34.88766404,138.7623028,"p_13968","Caladenia_rigida","South Australia","Endangered"
"92",-34.88766404,138.7623028,"p_23307","Prasophyllum_pruinosum","South Australia","Endangered"
"93",-34.88766404,138.7623028,"p_23890","Pterostylis_psammophila","South Australia","Critically Endangered"
"94",-34.88766404,138.7623028,"p_3112","Acanthocladium_dockeri","South Australia","Critically Endangered"
"95",-34.88766404,138.7623028,"p_5662","Calochilus_cupreus","South Australia","Critically Endangered"
"96",-34.88766404,138.7623028,"p_66327","Pterostylis_cucullata","South Australia","Vulnerable"
"97",-34.87182416,149.9592602,"p_13996","Caladenia_tessellata","New South Wales","Vulnerable"
"98",-34.87182416,149.9592602,"p_32857","Eucalyptus_recurva","New South Wales","Critically Endangered"
"99",-34.87182416,149.9592602,"p_64799","Pomaderris_cotoneaster","New South Wales","Endangered"
"100",-34.87182416,149.9592602,"p_64801","Pomaderris_delicata","New South Wales","Critically Endangered"
"101",-34.75516376,139.9321759,"p_13917","Caladenia_colorata","South Australia","Endangered"
"102",-34.75516376,139.9321759,"p_1753","Acacia_menzelii","South Australia","Vulnerable"
"103",-34.75516376,139.9321759,"p_2056","Acacia_pinguifolia","South Australia","Endangered"
"104",-34.75516376,139.9321759,"p_2228","Acacia_rhetinocarpa","South Australia","Vulnerable"
"105",-34.75516376,139.9321759,"p_57921","Olearia_pannosa_subsp_pannosa","South Australia","Vulnerable"
"106",-34.75516376,139.9321759,"p_78808","Thelymitra_epipactoides","South Australia","Endangered"
"107",-34.69551507,116.1574097,"p_45433","Isopogon_uncinatus","Western Australia","Critically Endangered"
"108",-34.66180604,150.8782982,"p_66338","Pterostylis_gibbosa","New South Wales","Endangered"
"109",-34.66180604,150.8782982,"p_84426","Genoplesium_baueri","New South Wales","Endangered"
"110",-34.23074081,119.1504387,"p_10002","Banksia_ionthocarpa_subsp_ionthocarpa","Western Australia","Endangered"
"111",-34.23074081,119.1504387,"p_10060","Banksia_montana","Western Australia","Critically Endangered"
"112",-34.23074081,119.1504387,"p_24369","Darwinia_wittwerorum","Western Australia","Endangered"
"113",-34.23074081,119.1504387,"p_24564","Daviesia_glossosema","Western Australia","Critically Endangered"
"114",-34.23074081,119.1504387,"p_24678","Daviesia_pseudaphylla","Western Australia","Critically Endangered"
"115",-34.23074081,119.1504387,"p_3618","Adenanthos_ellipticus","Western Australia","Endangered"
"116",-34.23074081,119.1504387,"p_39124","Grevillea_maxwellii","Western Australia","Critically Endangered"
"117",-34.23074081,119.1504387,"p_47152","Kunzea_similis_subsp_similis","Western Australia","Critically Endangered"
"118",-34.23074081,119.1504387,"p_49826","Leucopogon_gnaphalioides","Western Australia","Critically Endangered"
